@timestamp,message,PATTERN,IMPACT,URGENCY,PRIORITY,LOGZIO_PROJECT,APPLICATION,ENVIRONMENT,STATUS,TARGET_SYSTEM,TARGET_URI
2022-02-23T16:52:54.244000,"""2022-02-23 16:52:54.244  INFO 1 --- [nio-8080-exec-9] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469794)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:54.026000,"""2022-02-23 16:52:54.026  INFO 1 --- [nio-8080-exec-6] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469771)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:53.810000,"""2022-02-23 16:52:53.810  INFO 1 --- [nio-8080-exec-7] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469767)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:53.574000,"""2022-02-23 16:52:53.574  INFO 1 --- [nio-8080-exec-5] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469754)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:53.351000,"""2022-02-23 16:52:53.351  INFO 1 --- [nio-8080-exec-3] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469751)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:53.126000,"""2022-02-23 16:52:53.126  INFO 1 --- [nio-8080-exec-4] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469650)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:52.889000,"""2022-02-23 16:52:52.889  INFO 1 --- [nio-8080-exec-2] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469638)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:52.661000,"""2022-02-23 16:52:52.661  INFO 1 --- [nio-8080-exec-1] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469636)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:52.444000,"""2022-02-23 16:52:52.444  INFO 1 --- [io-8080-exec-10] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469632)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
2022-02-23T16:52:52.210000,"""2022-02-23 16:52:52.209  INFO 1 --- [nio-8080-exec-8] .w.r.s.m.s.SubscriptionManagementService : Get Subscription & Device Error 404 : [{\""status\"":\""NOT_FOUND\"",\""statusMessage\"":\""Subscriber not found (AccessNumber=17252469631)\""}]\n""",Get Subscription & Device Error 404,2,3,4,Wireless Revenue Management Prod,iAPI,PRODUCTION,EXISTING,iAPI,.w.r.s.m.s.SubscriptionManagementService
